k,i
clickVideoExit,0.007994883
clickVideoExit,0.970378957
clickVideoExit,0.031979533
clickVideoExit,0.368763991
clickVideoExit,0
clickVideoExit,0.404740966
clickVideoExit,0.12192197
clickVideoExit,0.969899264
clickVideoExit,0.866445475
clickVideoExit,0
clickVideoExit,0.978373841
clickVideoExit,0.033978254
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.359879677
clickVideoExit,
clickVideoExit,0.04896866
clickVideoExit,0.053965462
clickVideoExit,0.001998721
clickVideoExit,0.003997442
clickVideoExit,0.115925807
clickVideoExit,0.864446754
clickVideoExit,0.001998721
clickVideoExit,
clickVideoExit,0.005948193
clickVideoExit,0.007757035
clickVideoExit,0.656433882
clickVideoExit,0.182663096
clickVideoExit,
clickVideoExit,0.006393908
clickVideoExit,0.622911337
clickVideoExit,0.003419811
clickVideoExit,0.965835865
clickVideoExit,0.015761912
clickVideoExit,0.001756876
clickVideoExit,0.008368644
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.002508395
clickVideoExit,0.132787016
clickVideoExit,0.150153902
clickVideoExit,0.4303126
clickVideoExit,0.003461784
clickVideoExit,0.406012152
clickVideoExit,0.831022146
clickVideoExit,0.001243204
clickVideoExit,0
clickVideoExit,0.000397745
clickVideoExit,0.031935561
clickVideoExit,0
clickVideoExit,0.449982012
clickVideoExit,0.30007795
clickVideoExit,0.031168052
clickVideoExit,0.316199632
clickVideoExit,0.77723457
clickVideoExit,0.021340342
clickVideoExit,0.413735209
clickVideoExit,0.181649744
clickVideoExit,0.982231372
clickVideoExit,0.989314839
clickVideoExit,0.031903582
clickVideoExit,0.003030061
clickVideoExit,0.172105852
clickVideoExit,0.673576911
clickVideoExit,0.971804045
clickVideoExit,0.666075712
clickVideoExit,0.000621602
clickVideoExit,0.098119204
clickVideoExit,0.191905181
clickVideoExit,0.361590582
clickVideoExit,0.997271746
clickVideoExit,0.002966102
clickVideoExit,
clickVideoExit,0.133246722
clickVideoExit,0.006825632
clickVideoExit,0.9739067
clickVideoExit,0
clickVideoExit,0.301798849
clickVideoExit,0
clickVideoExit,0.003833547
clickVideoExit,0.748395027
clickVideoExit,0.03121802
clickVideoExit,0.012651903
clickVideoExit,0.015544052
clickVideoExit,0.353357851
clickVideoExit,0.00095339
clickVideoExit,0.380586425
clickVideoExit,
clickVideoExit,0.294235689
clickVideoExit,0.214582667
clickVideoExit,0.097273745
clickVideoExit,0
clickVideoExit,
clickVideoExit,
clickVideoExit,0.997471618
clickVideoExit,0.176838823
clickVideoExit,0.538471378
clickVideoExit,0.99289055
clickVideoExit,0.491137672
clickVideoExit,0.981821634
clickVideoExit,0.013915094
clickVideoExit,0.702028702
clickVideoExit,0.381050128
clickVideoExit,0.980254637
clickVideoExit,0.033946274
clickVideoExit,0
clickVideoExit,0.007739047
clickVideoExit,0.003801567
clickVideoExit,0.098089223
clickVideoExit,0.017206988
clickVideoExit,0
clickVideoExit,0.574478334
clickVideoExit,0.200983371
clickVideoExit,0.749460345
clickVideoExit,0.007986888
clickVideoExit,0
clickVideoExit,0.066213623
clickVideoExit,0.208896306
clickVideoExit,0.235978973
clickVideoExit,0.003147985
clickVideoExit,0.005134714
clickVideoExit,0.926802846
clickVideoExit,0.180032779
clickVideoExit,0
clickVideoExit,0.155900224
clickVideoExit,0
clickVideoExit,0.187879757
clickVideoExit,0
clickVideoExit,0.004215302
clickVideoExit,0.998377039
clickVideoExit,0.00137512
clickVideoExit,0
clickVideoExit,0.167494803
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.971158459
clickVideoExit,0.006563799
clickVideoExit,0.789528702
clickVideoExit,0.788505357
clickVideoExit,0.627944116
clickVideoExit,0.991019747
clickVideoExit,0
clickVideoExit,0.005370563
clickVideoExit,0.304493124
clickVideoExit,0
clickVideoExit,0.001642949
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.348920691
clickVideoExit,0.960901023
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.965168292
clickVideoExit,0.965452111
clickVideoExit,0.115318196
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.457559162
clickVideoExit,0
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.601996722
clickVideoExit,0.003589703
clickVideoExit,0.001007355
clickVideoExit,0.004163335
clickVideoExit,0.081447873
clickVideoExit,0.299862088
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.989146946
clickVideoExit,0
clickVideoExit,0.611958347
clickVideoExit,
clickVideoExit,0.002864167
clickVideoExit,0.001784858
clickVideoExit,0.695604813
clickVideoExit,0.340939799
clickVideoExit,0.728613687
clickVideoExit,0.856943556
clickVideoExit,0.964428766
clickVideoExit,0.129235289
clickVideoExit,0.988439399
clickVideoExit,0.192216981
clickVideoExit,0.001740886
clickVideoExit,0
clickVideoExit,0.418184362
clickVideoExit,0.422361689
clickVideoExit,0.004675008
clickVideoExit,0.020618804
clickVideoExit,0
clickVideoExit,0.020035177
clickVideoExit,0.716795251
clickVideoExit,0.009993604
clickVideoExit,0.080948193
clickVideoExit,0.174888072
clickVideoExit,0.038975056
clickVideoExit,0.008994244
clickVideoExit,0.007994883
clickVideoExit,0.316871202
clickVideoExit,0.221929965
clickVideoExit,0.335431324
clickVideoExit,0.788783179
clickVideoExit,0.890358171
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.003387832
clickVideoExit,0.174786137
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.925477694
clickVideoExit,0.984202111
clickVideoExit,0.23256316
clickVideoExit,0.234583866
clickVideoExit,0.002044691
clickVideoExit,
clickVideoExit,
clickVideoExit,0.897757435
clickVideoExit,0
clickVideoExit,0.188481372
clickVideoExit,0.809775744
clickVideoExit,0
clickVideoExit,0.799220499
clickVideoExit,0.01384314
clickVideoExit,0.21867205
clickVideoExit,0.010737128
clickVideoExit,0.503983451
clickVideoExit,0.002010713
clickVideoExit,0
clickVideoExit,0.745594819
clickVideoExit,0.057611129
clickVideoExit,0.515739926
clickVideoExit,0.154417173
clickVideoExit,0.312206188
clickVideoExit,0.755454509
clickVideoExit,0
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.202886153
clickVideoExit,0
clickVideoExit,0.001563
clickVideoExit,0.009246083
clickVideoExit,0
clickVideoExit,0.959385993
clickVideoExit,0
clickVideoExit,0.000131916
clickVideoExit,0.299762152
clickVideoExit,0.079870883
clickVideoExit,0
clickVideoExit,0.599532299
clickVideoExit,0.383152782
clickVideoExit,0.712993684
clickVideoExit,0.496947953
clickVideoExit,0.147523585
clickVideoExit,0.006851615
clickVideoExit,0.05164095
clickVideoExit,1
clickVideoExit,0.579501119
clickVideoExit,
clickVideoExit,0.947337704
clickVideoExit,0.963275504
clickVideoExit,0
clickVideoExit,0.00207867
clickVideoExit,0.01542213
clickVideoExit,0.015454109
clickVideoExit,0.069649424
clickVideoExit,0.015464103
clickVideoExit,0.013991046
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.19934442
clickVideoExit,0
clickVideoExit,
clickVideoExit,0.523237128
clickVideoExit,0.998604893
clickVideoExit,0.933910297
clickVideoExit,0.492644707
clickVideoExit,0.712486009
clickVideoExit,0.962378078
clickVideoExit,0.005370563
clickVideoExit,0.001481052
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.317914535
clickVideoExit,0.003004077
clickVideoExit,0.407992885
clickVideoExit,0.013623281
clickVideoExit,0.001237208
clickVideoExit,0.03409418
clickVideoExit,0.573922689
clickVideoExit,0.777608331
clickVideoExit,0.731471858
clickVideoExit,0.02398465
clickVideoExit,0.005396546
clickVideoExit,0.004221298
clickVideoExit,0.005510473
clickVideoExit,0.458978254
clickVideoExit,0.865042373
clickVideoExit,0.218524145
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.675511673
clickVideoExit,0.000883435
clickVideoExit,0.637551967
clickVideoExit,0.003721618
clickVideoExit,0.002998081
clickVideoExit,0.817476815
clickVideoExit,0.918412216
clickVideoExit,
clickVideoExit,
clickVideoExit,0.247841382
clickVideoExit,0.626053326
clickVideoExit,0
clickVideoExit,0.592848577
clickVideoExit,0
clickVideoExit,0.998668852
clickVideoExit,0.0185941
clickVideoExit,0.001441078
clickVideoExit,0.001189239
clickVideoExit,0
clickVideoExit,0.223632875
clickVideoExit,0.835675168
clickVideoExit,0.004079389
clickVideoExit,0.378501759
clickVideoExit,0.002398465
clickVideoExit,0.42039095
clickVideoExit,0.072269747
clickVideoExit,0.854355213
clickVideoExit,0
clickVideoExit,0.767632715
clickVideoExit,0
clickVideoExit,0.976131276
clickVideoExit,0.97537576
clickVideoExit,0.731010154
clickVideoExit,0
clickVideoExit,0.801802846
clickVideoExit,0.756995523
clickVideoExit,0.97832787
clickVideoExit,0.997051887
clickVideoExit,0.45471898
clickVideoExit,0.290502079
clickVideoExit,0
clickVideoExit,0.602754237
clickVideoExit,0.564834506
clickVideoExit,0.003285897
clickVideoExit,0.380872242
clickVideoExit,0.160067557
clickVideoExit,0.981291973
clickVideoExit,0.517248961
clickVideoExit,0
clickVideoExit,0.960745123
clickVideoExit,0.967900544
clickVideoExit,0.999134554
clickVideoExit,0.001305165
clickVideoExit,0
clickVideoExit,0.014538695
clickVideoExit,0.014538695
clickVideoExit,0
clickVideoExit,0.01568796
clickVideoExit,0.171268388
clickVideoExit,0.001367125
clickVideoExit,0.647539575
clickVideoExit,0.9106252
clickVideoExit,0.000895427
clickVideoExit,0.682707067
clickVideoExit,0
clickVideoExit,0.819371602
clickVideoExit,0.817476815
clickVideoExit,0.420848657
clickVideoExit,0.989654621
clickVideoExit,0.064948433
clickVideoExit,0.019987208
clickVideoExit,0.076950752
clickVideoExit,0.086944356
clickVideoExit,0.653581708
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.060960985
clickVideoExit,0.007994883
clickVideoExit,0.243702031
clickVideoExit,0.972757435
clickVideoExit,
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.995362968
clickVideoExit,0.447713463
clickVideoExit,0.998996642
clickVideoExit,0.135913016
clickVideoExit,0.00153102
clickVideoExit,0.001325152
clickVideoExit,0.321630157
clickVideoExit,0.123920691
clickVideoExit,0.496682123
clickVideoExit,
clickVideoExit,
clickVideoExit,0.011992325
clickVideoExit,
clickVideoExit,0.001998721
clickVideoExit,0.076950752
clickVideoExit,1
