event_key,learn_time,exit_ratio,c_start,c_end
clickVideoExit,17,0.027846557,NULL,NULL
clickVideoExit,160,0.276057899,NULL,NULL
clickVideoExit,17,0.029622618,NULL,NULL
clickVideoExit,51,0.063378584,NULL,NULL
clickVideoExit,13,0.020594756,NULL,NULL
clickVideoExit,20,0.034614305,NULL,NULL
clickVideoExit,288,1.085097998,NULL,NULL
clickVideoExit,7,1.147713613,NULL,NULL
clickVideoExit,12,1.055043511,NULL,NULL
clickVideoExit,322,0.620835163,NULL,NULL
clickVideoExit,29,0.000683793,NULL,NULL
clickVideoExit,7,0.005742059,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,345,0.59709856,NULL,NULL
clickVideoExit,17,0.130030375,NULL,NULL
clickVideoExit,8,0.011359956,NULL,NULL
clickVideoExit,20,0.033307901,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,136,0.241036918,NULL,NULL
clickVideoExit,470,0.642984647,NULL,NULL
clickVideoExit,20,0.033478849,NULL,NULL
clickVideoExit,2,0.003555722,NULL,NULL
clickVideoExit,632,1.147314134,NULL,NULL
clickVideoExit,101,0.158962003,NULL,NULL
clickVideoExit,514,1.151470874,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,709,1.146398212,NULL,NULL
clickVideoExit,11,0.089960124,NULL,NULL
clickVideoExit,516,0.846483146,NULL,NULL
clickVideoExit,21,0.022144086,NULL,NULL
clickVideoExit,596,0.606214596,NULL,NULL
clickVideoExit,348,0.613286452,NULL,NULL
clickVideoExit,966,0,NULL,NULL
clickVideoExit,32,0.413914101,NULL,NULL
clickVideoExit,67,0.161088958,NULL,NULL
clickVideoExit,2,0.90141689,NULL,NULL
clickVideoExit,95,0.155548438,NULL,NULL
clickVideoExit,9,0,NULL,NULL
clickVideoExit,1646,0.303359221,NULL,NULL
clickVideoExit,73,0.247282824,NULL,NULL
clickVideoExit,7,0.958920255,NULL,NULL
clickVideoExit,16,0.036435353,NULL,NULL
clickVideoExit,19,0.069246604,NULL,NULL
clickVideoExit,24,0.040826022,NULL,NULL
clickVideoExit,308,0.738692229,NULL,NULL
clickVideoExit,494,0,NULL,NULL
clickVideoExit,87,0.11160936,NULL,NULL
clickVideoExit,7,0.010449432,NULL,NULL
clickVideoExit,657,0,NULL,NULL
clickVideoExit,5,0.004788348,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,27,0.045947269,NULL,NULL
clickVideoExit,22,0.062705588,NULL,NULL
clickVideoExit,12,0.019509685,NULL,NULL
clickVideoExit,128,0.165774737,NULL,NULL
clickVideoExit,1041,0,NULL,NULL
clickVideoExit,37,0.062653403,NULL,NULL
clickVideoExit,1209,0.414590696,NULL,NULL
clickVideoExit,183,0.408220628,NULL,NULL
clickVideoExit,17,0.018986043,NULL,NULL
clickVideoExit,41,0,NULL,NULL
clickVideoExit,552,0.977744348,NULL,NULL
clickVideoExit,61,0.874898331,NULL,NULL
clickVideoExit,78,0.891575674,NULL,NULL
clickVideoExit,60,0.201826806,NULL,NULL
